,words,IPA
224,acclaim,@kleIm
225,acclaim,@kleIm
226,acclamation,"ɑkl@meISn,"
227,acclimate,ɑklImeIt
228,acclimation,"ɑklaImeISn,"
229,acclimatization,"@klaIm@taIzeISn,"
230,acclimatize,@klaIm@taIz
231,acclivity,@klIv@tI
232,accolade,ɑk@UleId
233,accommodate,@kOm@deIt
234,accommodating,@kOm@deItIN
235,accommodatingly,@kOm@deItINlI
236,accommodation,"@kOm@deISn,"
237,accommodations,"@kOm@deISn,z"
238,accompaniment,@kVmp@nIm@nt
239,accompanist,@kVmp@nIst
240,accompany,@kVmp@nI
241,accomplice,@kVmplIs
242,accomplish,@kVmplIS
243,accomplished,@kVmplISt
244,accomplishedfact,@kVmplIStfɑkt
245,accomplishment,@kVmplISm@nt
246,accord,@kOd
247,accord,@kOd
248,accordance,@kOd@ns
249,accordingas,@kOdINɑz
250,accordingly,@kOdINlI
251,accordingto,@kOdINtu
252,accordion,@kOdj@n
253,accost,@kOst
254,accouchement,@kuSmA~N
255,account,@kaUnt
256,account,@kaUnt
257,accountable,"@kaUnt@bl,"
258,accountably,@kaUnt@blI
259,accountancy,@kaUnt@nsI
260,accountant,@kaUnt@nt
261,accountfor,@kaUntfOrɞ
262,accoutrements,@kut@m@nts
263,accredit,@krEdIt
264,accredited,@krEdItId
265,accrete,@krit
266,accretion,"ɑkriSn,"
267,accrue,@kru
268,accumulate,@kjumjUleIt
269,accumulation,"@kjumjUleISn,"
270,accumulative,@kjumjUl@tIv
271,accumulatively,@kjumjUl@tIvlI
272,accumulator,@kjumjUleIt@rɞ
273,accuracy,ɑkjUr@sI
274,accurate,ɑkjUr@t
275,accurately,ɑkjUr@tlI
276,accursed,@k3sId
277,accursedly,@k3sIdlI
278,accurst,@k3st
279,accusation,"ɑkjuzeISn,"
280,accusative,@kjuz@tIv
281,accusative,@kjuz@tIv
282,accuse,@kjuz
283,accused,@kjuzd
284,accused,@kjuzd
285,accuser,@kjuz@rɞ
286,accusing,@kjuzIN
287,accusingly,@kjuzINlI
288,accustom,@kVst@m
289,accustomed,@kVst@md
290,ace,eIs
291,acerbic,@s3bIk
292,acerbity,@s3b@tI
293,acetate,ɑsIteIt
294,acetic,@sitIk
295,aceticacid,@sitIkɑsId
296,acetyl,ɑsItIl
297,acetylene,@sEtIlin
298,ache,eIk
299,ache,eIk
300,achievable,"@tSiv@bl,"
301,achieve,@tSiv
302,achievement,@tSivm@nt
303,Achilles,@kIliz
304,Achilles'heel,@kIlizhil
305,Achillestendon,@kIliztEnd@n
306,achoo,@tSu
307,acid,ɑsId
308,acid,ɑsId
309,acidic,@sIdIk
310,acidify,@sIdIfaI
311,acidity,@sId@tI
312,acidtest,ɑsIdtEst
313,acidulate,@sIdjUleIt
314,acidulated,@sIdjUleItId
315,acidulous,@sIdjUl@s
316,ack-ack,ɑkɑk
317,acknowledge,@knOlIdZ
318,acknowledgement,@knOlIdZm@nt
319,acme,ɑkmI
320,acne,ɑknI
321,acolyte,ɑk@UlaIt
322,aconite,ɑk@naIt
323,acorn,eIkOn
324,acorn-cup,eIkOnkVp
325,acoustic,@kustIk
326,acoustic,@kustIk
327,acoustically,@kustIk@lI
328,acoustics,@kustIks
329,acquaintance,@kweInt@ns
330,acquaintanceship,@kweInt@nSIp
331,acquaintwith,@kweIntwID
332,acquiesce,ɑkwIEs
333,acquiescence,"ɑkwIEsn,s"
334,acquiescent,"ɑkwIEsn,t"
335,acquiescently,"ɑkwIEsn,tlI"
336,acquire,@kwaI@rɞ
337,acquiredtaste,@kwaI@dteIst
338,acquirement,@kwaI@m@nt
339,acquisition,"ɑkwIzISn,"
340,acquisitive,@kwIzItIv
341,acquisitively,@kwIzItIvlI
342,acquisitiveness,@kwIzItIvnIs
343,acquit,@kwIt
344,acquittal,"@kwItl,"
345,acre,eIk@rɞ
346,acreage,eIk@rIdZ
347,acrid,ɑkrId
348,acrimonious,ɑkrIm@Unj@s
349,acrimoniously,ɑkrIm@Unj@slI
350,acrimony,ɑkrIm@nI
351,acrobat,ɑkr@bɑt
352,acrobatic,ɑkr@UbɑtIk
353,acrobatically,ɑkr@UbɑtIk@lI
354,acrobatics,ɑkr@UbɑtIks
355,acronym,ɑkr@UnIm
356,Acropolis,@krOp@lIs
357,acropolis,@krOp@lIs
358,across,@krOs
359,across,@krOs
360,acrossfrom,@krOsfrOm
361,acrostic,@krOstIk
362,acrylic,@krIlIk
363,acrylic,ɑkrIlIk
364,acrylicfibre,@krIlIkfaIb@
365,act,ɑkt
366,act,ɑkt
367,actas,ɑktɑs
368,acting,ɑktIN
369,acting,ɑktIN
370,actinic,ɑktinIk
371,actinism,ɑktInIz@m
372,action,"ɑkSn,"
373,actionable,"ɑkSn,@bl,"
374,actionpainting,"ɑkSn,peIntIN"
375,actionstations,"ɑkSn,steISn,z"
376,activate,ɑktIveIt
377,activation,"ɑktIveISn,"
378,active,ɑktIv
379,active,ɑktIv
380,actively,ɑktIvlI
381,activeservice,ɑktIvs3vIs
382,activevoice,ɑktIvvOIs
383,activist,ɑktIvIst
384,activity,ɑktIv@tI
385,actofGod,ɑktOvgOd
386,actor,ɑkt@rɞ
387,actout,ɑktaUt
388,actress,ɑktrIs
389,Acts,ɑkts
390,actual,ɑktSU@l
391,actuality,ɑktSUɑl@tI
392,actually,ɑktSU@lI
393,actuarial,ɑktjUE@rI@l
394,actuary,ɑktjU@rI
395,actuate,ɑktjUeIt
396,actup,ɑktVp
397,actupto,ɑktVptu
398,acuity,@kju@tI
399,acumen,ɑkjUm@n
400,acupuncture,ɑkjUpVNktS@rɞ
401,acute,@kjut
402,acutely,@kjutlI
403,acuteness,@kjutnIs
404,ad,ɑd
405,AD,eIdi
406,adage,ɑdIdZ
407,adagio,@dAdZI@U
408,adagio,@dAdZI@U
409,adagio,@dAdZI@U
410,Adam,ɑd@m
411,adamancy,ɑd@m@nsI
412,adamant,ɑd@m@nt
413,adamant,ɑd@m@nt
414,adamantine,ɑd@mɑntaIn
415,adamantly,ɑd@m@ntlI
416,Adam'sapple,"ɑd@mzɑpl,"
417,adapt,@dɑpt
418,adaptability,@dɑpt@bIl@tI
419,adaptable,"@dɑpt@bl,"
420,adaptation,"ɑdɑpteISn,"
421,adapter,@dɑpt@rɞ
422,ADC,eIdisi
423,add,ɑd
424,addendum,@dEnd@m
425,adder,ɑd@rɞ
426,addict,ɑdIkt
427,addict,@dIkt
428,addiction,"@dIkSn,"
429,addictive,@dIktIv
430,adding-machine,ɑdINm@Sin
431,addition,"@dISn,"
432,additional,"@dIS@nl,"
433,additional,"@dIS@nl,"
434,additionally,"@dISn,@lI"
435,additive,ɑdItIv
436,addle,"ɑdl,"
437,addle-brained,"ɑdl,breInd"
438,addle-head,"ɑdl,hEd"
439,addle-pated,"ɑdl,peItId"
440,address,@drEs
441,address,@drEs
442,addressee,ɑdrEsi
443,Addressograph,@drEs@UgrAf
444,Addressograph,@drEs@UgrAf
445,addto,ɑdtu
446,adduce,@djus
447,addup,ɑdVp
448,addupto,ɑdVptu
449,adenoidal,"ɑdInOIdl,"
450,adenoidally,"ɑdInOIdl,I"
451,adenoids,ɑdInOIdz
452,adept,ɑdEpt
453,adept,ɑdEpt
454,adeptly,ɑdEpt
455,adequacy,ɑdIkw@sI
456,adequate,ɑdIkw@t
457,adequately,ɑdIkw@tlI
458,adhere,@dhI@rɞ
459,adherence,@dhI@r@ns
460,adherent,@dhI@r@nt
461,adherent,@dhI@r@nt
462,adhereto,@dhI@tu
463,adhesion,"@dhiZn,"
464,adhesive,@dhisIv
465,adhesive,@dhisIv
466,adhoc,ɑdhOk
467,adhoc,ɑdhOk
468,adieu,@dju
469,adieu,@dju
470,adinfinitum,ɑdInfInaIt@m
471,adinterim,ɑdInt@rIm
472,adipose,ɑdIp@Us
473,adj,ɑdZIktIv
474,adjacent,@dZeIs@nt
475,adjectival,"ɑdZEktaIvl,"
476,adjectivally,ɑdZEktaIv@lI
477,adjective,ɑdZIktIv
478,adjoin,@dZOIn
479,adjoining,@dZOInIN
480,adjourn,@dZ3n
481,adjournment,@dZ3nm@nt
482,adjudge,@dZVdZ
483,adjudicate,@dZudIkeIt
484,adjudication,"@dZudIkeISn,"
485,adjudicator,@dZudIkeIt@rɞ
486,adjunct,ɑdZVNkt
487,adjuration,"ɑdZU@reISn,"
488,adjure,@dZU@rɞ
489,adjust,@dZVst
490,adjustable,"@dZVst@bl,"
491,adjuster,@dZVst@rɞ
492,adjustment,@dZVstm@nt
493,adjutant,ɑdZUt@nt
494,adlib,ɑdlIb
495,ad-lib,ɑdlIb
496,ad-lib,ɑdlIb
497,adlibitum,ɑdlIbIt@m
498,adman,ɑdmɑn
499,admass,ɑdmɑs
500,administer,@dmInIst@rɞ
501,administerto,@dmInIst@tu
502,administration,"@dmInIstreISn,"
503,administrative,@dmInIstr@tIv
504,administratively,@dmInIstr@tIvlI
505,administrator,@dmInIstreIt@rɞ
506,admirable,"ɑdm@r@bl,"
507,admirably,ɑdm@r@blI
508,admiral,ɑdm@r@l
509,admiralty,ɑdm@r@ltI
510,admiration,"ɑdm@reISn,"
511,admire,@dmaI@rɞ
512,admirer,@dmaI@r@rɞ
513,admiring,@dmaI@rIN
514,admiringly,@dmaI@rINlI
515,admissibility,@dmIs@bIl@tI
516,admissible,"@dmIs@bl,"
517,admission,"@dmISn,"
518,admit,@dmIt
519,admitof,@dmItOv
520,admittance,@dmIt@ns
521,admitted,@dmItId
522,admittedly,@dmItIdlI
523,admix,ɑdmIks
524,admixture,ɑdmIkstS@rɞ
525,admonish,@dmOnIS
526,admonishing,@dmOnISIN
527,admonishingly,@dmOnISINlI
528,admonition,"ɑdm@UnISn,"
529,admonitory,@dmOnIt@rI
530,adnauseam,ɑdnOzIɑm
531,ado,@du
532,adobe,@d@UbI
533,adolescence,"ɑd@UlEsn,s"
534,adolescent,"ɑd@UlEsn,t"
535,adolescent,"ɑd@UlEsn,t"
536,adopt,@dOpt
537,adoption,"@dOpSn,"
538,adoptive,@dOptIv
539,adorable,"@dOr@bl,"
540,adorably,@dOr@blI
541,adoration,"ɑd@reISn,"
542,adore,@dOrɞ
543,adorer,@dOr@rɞ
544,adoring,@dOrIN
545,adoringly,@dOrINlI
546,adorn,@dOn
547,adornment,@dOnm@nt
548,adrenal,"@drinl,"
549,adrenalin,@drEn@lIn
550,adrift,@drIft
551,adrift,@drIft
552,adroit,@drOIt
553,adroitly,@drOItlI
554,adroitness,@drOItnIs
555,adulate,ɑdZUleIt
556,adulation,"ɑdjUleISn,"
557,adulator,ɑdjUleIt@rɞ
558,adulatory,ɑdjUleIt@rI
559,adult,ɑdVlt
560,adult,ɑdVlt
561,adulteducation,"ɑdVltEdZUkeISn,"
562,adulterant,@dVlt@r@nt
563,adulterate,@dVlt@reIt
564,adulteration,"@dVlt@reISn,"
565,adulterer,@dVlt@r@rɞ
566,adulteress,@dVlt@rIs
567,adulterous,@dVlt@r@s
568,adultery,@dVlt@rI
569,adulthood,ɑdVlthUd
570,adumbrate,ɑdVmbreIt
571,adumbration,"ɑdVmbreISn,"
572,adv,ɑdv3b
573,advalorem,ɑdv@lOrEm
574,advance,@dvAns
575,advance,@dvAns
576,advanced,@dvAnst
577,advancedlevel,"@dvAnstlEvl,"
578,advancement,@dvAnsm@nt
579,advances,@dvAnsIz
580,advantage,@dvAntIdZ
581,advantage,@dvAntIdZ
582,advantageous,ɑdv@nteIdZ@s
583,advantageously,ɑdv@nteIdZ@slI
584,advent,ɑdv@nt
585,Advent,ɑdv@nt
586,Adventist,ɑdv@ntIst
587,adventitious,ɑdvEntIS@s
588,adventitiously,ɑdvEntIS@slI
589,adventure,@dvEntS@rɞ
590,adventure,@dvEntS@rɞ
591,adventurer,@dvEntS@r@rɞ
592,adventuresome,@dvEntS@s@m
593,adventuress,@dvEntS@rIs
594,adventurous,@dvEntS@r@s
595,adventurously,@dvEntS@r@slI
596,adverb,ɑdv3b
597,adverbial,@dv3bj@l
598,adverbial,@dv3bj@l
599,adverbially,@dv3bj@lI
600,adversary,ɑdv@s@rI
601,adverse,ɑdv3s
602,adversely,ɑdv3slI
603,adversity,@dv3s@tI
604,advert,ɑdv3t
605,advertence,@dv3t@ns
606,advertent,@dv3t@nt
607,advertise,ɑdv@taIz
608,advertisement,@dv3tIsm@nt
609,advertiser,ɑdv@taIz@rɞ
610,advertising,ɑdv@taIsIN
611,advertto,@dv3ttu
612,advice,@dvaIs
613,advisability,@dvaIz@bIl@tI
614,advisable,"@dvaIz@bl,"
615,advise,@dvaIz
616,advisedly,@dvaIzIdlI
617,adviser,@dvaIz@rɞ
618,advisory,@dvaIz@rI
619,advocacy,ɑdv@k@sI
620,advocate,ɑdv@k@t
621,advocate,ɑdv@keIt
622,advowson,"@dvaUzn,"
623,adze,ɑdz
624,aegis,idZIs
625,aeon,i@n
626,aerate,eI@reIt
627,aeration,"eI@reISn,"
628,aerial,E@rI@l
629,aerial,E@rI@l
630,aerially,E@rI@lI
631,aerobatic,E@r@UbɑtIk
632,aerobatics,E@r@UbɑtIks
633,aerodrome,E@r@dr@Um
634,aerodynamic,E@r@UdaInɑmIk
635,aerodynamically,E@r@UdaInɑmIklI
636,aerodynamics,E@r@UdaInɑmIks
637,aeronaut,E@r@nOt
638,aeronautic,E@r@nOtIk
639,aeronautical,"E@r@nOtIkl,"
640,aeronautics,E@r@nOtIks
641,aeroplane,E@r@pleIn
642,aerosol,E@r@UsOl
643,aerospace,E@r@UspeIs
644,aertex,E@tEks
645,aesthete,isTit
646,aesthetic,isTEtIk
647,aesthetic,isTEtIk
648,aesthetical,"isTEtIkl,"
649,aesthetically,isTEtIk@lI
650,aesthetics,isTEtIks
651,aetiological,"itI@lOdZIkl,"
652,aetiologically,itI@lOdZIk@lI
653,aetiology,itIOl@dZI
654,afar,@fArɞ
655,affability,ɑf@bIl@tI
656,affable,"ɑf@bl,"
657,affably,ɑf@blI
658,affair,@fE@rɞ
659,affect,@fEkt
660,affectation,"ɑfEkteISn,"
661,affected,@fEktId
662,affectedly,@fEktIdlI
663,affectedness,@fEktIdnIs
664,affecting,@fEktIN
665,affectingly,@fEktINlI
666,affection,"@fEkSn,"
667,affectionate,@fEkSn@t
668,affectionately,@fEkSn@tlI
669,affiance,@faI@ns
670,affidavit,ɑfIdeIvIt
671,affiliate,@fIlIeIt
672,affiliation,"@fIlIeISn,"
673,affiliationorder,"@fIlIeISn,Od@rɞ"
674,affine,ɑfaIn
675,affinity,@fIn@tI
676,affirm,@f3m
677,affirmation,"ɑf@meISn,"
678,affirmative,@f3m@tIv
679,affirmative,@f3m@tIv
680,affirmatively,@f3m@tIvlI
681,affix,ɑfIks
682,affix,@fIks
683,afflatus,@fleIt@s
684,afflict,@flIkt
685,affliction,"@flIkSn,"
686,affluence,ɑflU@ns
687,affluent,ɑflU@nt
688,affluent,ɑflU@nt
689,afford,@fOd
690,afforest,ɑfOrIst
691,afforestation,"ɑfOrIsteISn,"
692,affranchise,@frɑntSaIz
693,affray,@freI
694,affricate,ɑfrIk@t
695,affront,@frVnt
696,affront,@frVnt
697,Afghan,ɑfgɑn
698,Afghan,ɑfgɑn
699,Afghani,ɑfgAnI
700,Afghani,ɑfgAnI
701,Afghanistan,ɑfgɑnIstɑn
702,Afghanistani,ɑfgɑnIstɑnI
703,Afghanistani,ɑfgɑnIstɑnI
704,aficionado,@fIsj@nAd@U
705,afield,@fild
706,afire,@faI@rɞ
707,afire,@faI@rɞ
708,aflame,@fleIm
709,aflame,@fleIm
710,afloat,@fl@Ut
711,afloat,@fl@Ut
712,afoot,@fUt
713,afoot,@fUt
714,afore,@fOrɞ
715,afore,@fOrɞ
716,aforementioned,@fOmEnS@nd
717,aforementioned,@fOmEnS@nd
718,aforesaid,@fOsEd
719,aforesaid,@fOsEd
720,aforethought,@fOTOt
721,afortiori,eIfOtIOraI
722,afoul,@faUl
723,afraid,@freId
724,afresh,@frES
725,Africa,ɑfrIk@
726,African,ɑfrIk@n
727,African,ɑfrIk@n
728,Afrikaans,ɑfrIkAns
729,Afrikaner,ɑfrIkAn@rɞ
730,Afrikaner,ɑfrIkAn@rɞ
731,Afro,ɑfr@U
732,Afro-American,ɑfr@U@mErIk@n
733,Afro-Asian,"ɑfr@UeISn,"
734,Afro-wig,ɑfr@UwIg
735,aft,Aft
736,after,Aft@rɞ
737,after,Aft@rɞ
738,after,Aft@rɞ
739,after,Aft@rɞ
740,afterall,Aft@rOl
741,afterbirth,Aft@b3T
742,aftercare,Aft@kE@rɞ
743,afterdamp,Aft@dɑmp
744,aftereffect,Aft@rIfEkt
745,afterglow,Aft@gl@U
746,afterlife,Aft@laIf
747,aftermath,Aft@mɑT
748,afternoon,Aft@nun
749,afternoon,Aft@nun
750,afternoons,Aft@nunz
751,afters,At@z
752,aftershave,Aft@SeIv
753,aftershavelotion,"Aft@SeIvl@USn,"
754,aftertaste,Aft@teIst
755,afterthought,Aft@TOt
756,afterward,Aft@w@d
757,afterwards,Aft@w@dz
758,again,@gEn
759,against,@gEnst
760,agape,@geIp
761,agape,@geIp
762,agar,eIgArɞ
763,agar-agar,eIg@reIg@rɞ
764,agate,ɑg@t
765,agave,@geIvI
766,age,eIdZ
767,age,eIdZ
768,age-bracket,eIdZbrɑkIt
769,aged,eIdZId
770,aged,eIdZd
771,age-group,eIdZgrup
772,ageing,eIdZIN
773,ageless,eIdZlIs
774,agelessness,eIdZlIsnIs
775,age-long,eIdZlON
776,agency,eIdZ@nsI
777,agenda,@dZEnd@
778,agent,eIdZ@nt
779,agentprovocateur,ɑZA~Npr@vOk@t3
780,ageofconsent,eIdZOvk@nsEnt
781,age-old,eIdZ@Uld
782,agglomerate,@glOm@reIt
783,agglomerate,@glOm@r@t
784,agglomerate,@glOm@r@t
785,agglomeration,"@glOm@reISn,"
786,agglutinate,@glutIneIt
787,agglutination,"@glutIneISn,"
788,agglutinative,@glutIn@tIv
789,aggrandize,@grɑndaIz
790,aggrandizement,@grɑndIzm@nt
791,aggravate,ɑgr@veIt
792,aggravation,"ɑgr@veISn,"
793,aggregate,ɑgrIg@t
794,aggregate,ɑgrIgeIt
795,aggregate,ɑgrIg@t
796,aggregation,"ɑgrIgeISn,"
797,aggress,@grEs
798,aggression,"@grESn,"
799,aggressive,@grEsIv
800,aggressively,@grEsIvlI
801,aggressiveness,@grEsIvnIs
802,aggressor,@grEs@rɞ
803,aggrieve,@griv
804,aggrieved,@grivd
805,aggro,ɑgr@U
806,aghast,@gAst
807,agile,ɑdZaIl
808,agilely,ɑdZaIllI
809,agility,@dZIl@tI
810,agin,@gIn
811,agitate,ɑdZIteIt
812,agitated,ɑdZIteItId
813,agitating,ɑdZIteItIN
814,agitation,"ɑdZIteISn,"
815,agitator,ɑdZIteIt@rɞ
816,aglow,@gl@U
817,agnail,ɑgneIl
818,agnostic,ɑgnOstIk
819,agnostic,ɑgnOstIk
820,agnosticism,ɑgnOstIsIz@m
821,AgnusDei,ɑgn@sdeIi
822,ago,@g@U
823,agog,@gOg
824,agonize,ɑg@naIz
825,agonized,ɑg@naIzd
826,agonizing,ɑg@naIzIN
827,agonizingly,ɑg@naIzINlI
828,agony,ɑg@nI
829,agonycolumn,ɑg@nIkOl@m
830,agora,ɑg@r@
831,agoraphobia,ɑg@r@f@Ubj@
832,agoraphobic,ɑg@r@f@UbIk
833,agoraphobic,ɑg@r@f@UbIk
834,agrarian,@grE@rI@n
835,agree,@gri
836,agreeable,"@grI@bl,"
837,agreeably,@grI@blI
838,agreement,@grim@nt
839,agreewith,@griwID
840,agricultural,ɑgrIkVltS@r@l
841,agriculturalist,ɑgrIkVltS@r@lIst
842,agriculture,ɑgrIkVltS@rɞ
843,agriculturist,ɑgrIkVltS@rIst
844,agronomist,@grOn@mIst
845,agronomy,@grOn@mI
846,aground,@graUnd
847,aground,@graUnd
848,ague,eIgju
849,ah,A
850,aha,AhA
851,ahead,@hEd
852,ahead,@hEd
853,ahem,"hm,"
854,ahoy,@hOI
855,aid,eId
856,aid,eId
857,aide,eId
858,aide-de-camp,eIdd@kA~N
859,aide-memoire,eIdmEmwArɞ
860,aigrette,eIgrEt
861,ail,eIl
862,aileron,eIl@rOn
863,ailment,eIlm@nt
864,aim,eIm
865,aim,eIm
866,aimat,eImɑt
867,aimfor,eImfOrɞ
868,aimless,eImlIs
869,aimlessly,eImlIslI
870,aimlessness,eImlIsnIs
871,ain't,eInt
872,ain't,eInt
873,air,E@rɞ
874,air,E@rɞ
875,airbase,E@beIs
876,airbed,E@bEd
877,airbladder,E@blɑd@rɞ
878,airborne,E@bOn
879,airbrake,E@breIk
880,airbus,E@bVs
881,airchiefmarshal,"E@tSifmASl,"
